epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,2588.43,0.6827,0.42388,0.9027,0.83484,0.64983,0.66225,0.42602,1.08287,0.76938,1.017,0.00824629,0.00824629,0.00824629
126,2609.07,0.65385,0.41081,0.89989,0.77696,0.64005,0.64507,0.42882,1.08136,0.71446,1.00975,0.00823214,0.00823214,0.00823214
127,2629.63,0.65991,0.41558,0.90061,0.79307,0.63277,0.66616,0.42413,1.04298,0.70615,1.00134,0.008218,0.008218,0.008218
128,2650.3,0.66438,0.42092,0.8941,0.77027,0.62476,0.6292,0.42098,1.07386,0.77155,1.01148,0.00820386,0.00820386,0.00820386
129,2671.07,0.66557,0.42,0.90497,0.8314,0.63844,0.64625,0.42203,1.04386,0.71731,0.99451,0.00818971,0.00818971,0.00818971
130,2691.93,0.66244,0.41034,0.90326,0.79066,0.60421,0.62346,0.43099,1.03913,0.74783,0.9977,0.00817557,0.00817557,0.00817557
131,2712.78,0.65933,0.40289,0.89265,0.7991,0.59573,0.60848,0.4193,1.06513,0.73405,1.0175,0.00816143,0.00816143,0.00816143
132,2733.39,0.66752,0.41843,0.89571,0.73192,0.64885,0.63767,0.42682,1.06062,0.7276,1.01073,0.00814729,0.00814729,0.00814729
133,2754.08,0.66129,0.41355,0.90064,0.82877,0.61353,0.64355,0.43606,1.03511,0.76095,0.99831,0.00813314,0.00813314,0.00813314
134,2774.84,0.66265,0.41909,0.90529,0.82129,0.63124,0.63864,0.42436,1.07368,0.79739,1.02476,0.008119,0.008119,0.008119
135,2795.52,0.633,0.39829,0.88747,0.83696,0.61313,0.64862,0.42501,1.0548,0.74723,1.00395,0.00810486,0.00810486,0.00810486
136,2816.23,0.66615,0.42316,0.90236,0.83919,0.64972,0.66196,0.44278,1.04146,0.73587,1.01529,0.00809071,0.00809071,0.00809071
137,2836.79,0.63634,0.39747,0.90051,0.82507,0.63831,0.65249,0.42887,1.07913,0.75943,1.02309,0.00807657,0.00807657,0.00807657
138,2857.41,0.64543,0.39935,0.89209,0.82643,0.61859,0.6495,0.43699,1.04645,0.73989,1.00894,0.00806243,0.00806243,0.00806243
139,2877.95,0.6582,0.40655,0.89237,0.80528,0.64965,0.67417,0.42179,1.04772,0.72929,1.00823,0.00804829,0.00804829,0.00804829
140,2898.57,0.65134,0.40534,0.89878,0.79715,0.61568,0.63037,0.42833,1.03764,0.72959,1.00883,0.00803414,0.00803414,0.00803414
141,2919.25,0.63866,0.39727,0.89302,0.80887,0.63133,0.65661,0.4249,1.0364,0.7936,1.00126,0.00802,0.00802,0.00802
142,2940.21,0.654,0.40927,0.89497,0.73754,0.6608,0.64425,0.42598,1.06305,0.74719,1.00345,0.00800586,0.00800586,0.00800586
143,2961.01,0.64647,0.39867,0.89482,0.75016,0.65514,0.64637,0.4282,1.0551,0.74114,0.99653,0.00799171,0.00799171,0.00799171
144,2982.11,0.65514,0.40937,0.89838,0.84218,0.62312,0.62932,0.42238,1.02387,0.77549,0.98828,0.00797757,0.00797757,0.00797757
145,3002.84,0.63978,0.39442,0.89028,0.83651,0.62349,0.6364,0.42392,1.03088,0.79858,1.0005,0.00796343,0.00796343,0.00796343
146,3023.92,0.64312,0.39669,0.8987,0.74768,0.64106,0.63374,0.41558,1.05904,0.74721,1.00948,0.00794929,0.00794929,0.00794929
147,3044.63,0.6396,0.39352,0.88376,0.8071,0.64117,0.65501,0.43154,1.04979,0.71945,0.99963,0.00793514,0.00793514,0.00793514
148,3065.48,0.63839,0.38916,0.89576,0.76202,0.64993,0.64454,0.43028,1.05586,0.72739,1.00919,0.007921,0.007921,0.007921
149,3086.44,0.63522,0.3918,0.88743,0.79885,0.64131,0.66068,0.43262,1.05044,0.69249,1.00237,0.00790686,0.00790686,0.00790686
150,3107.35,0.62136,0.38747,0.89002,0.75699,0.66186,0.66736,0.42834,1.07125,0.73536,1.02616,0.00789271,0.00789271,0.00789271
151,3127.96,0.64512,0.39211,0.89506,0.75491,0.66597,0.66246,0.43211,1.09849,0.74165,1.00644,0.00787857,0.00787857,0.00787857
152,3148.66,0.63898,0.38191,0.88911,0.78343,0.64979,0.6663,0.44063,1.031,0.70476,1.00071,0.00786443,0.00786443,0.00786443
153,3169.38,0.63316,0.3929,0.89128,0.81446,0.62077,0.64102,0.43514,1.07993,0.75211,1.01327,0.00785029,0.00785029,0.00785029
154,3190.36,0.63502,0.39026,0.89537,0.77113,0.65077,0.65593,0.42812,1.05905,0.72745,1.00884,0.00783614,0.00783614,0.00783614
155,3210.86,0.64745,0.40141,0.89169,0.73555,0.65449,0.64839,0.43527,1.04534,0.72014,0.99013,0.007822,0.007822,0.007822
156,3231.49,0.63968,0.39635,0.88715,0.7514,0.66192,0.64506,0.43159,1.03937,0.71954,0.99268,0.00780786,0.00780786,0.00780786
157,3252.19,0.62461,0.38386,0.88784,0.75871,0.65696,0.64426,0.43476,1.05387,0.73067,0.99522,0.00779371,0.00779371,0.00779371
158,3273.2,0.62762,0.38696,0.88202,0.83556,0.65537,0.6663,0.44139,1.05158,0.70484,1.00641,0.00777957,0.00777957,0.00777957
159,3293.98,0.6152,0.38294,0.88099,0.8016,0.65201,0.65965,0.43843,1.07499,0.69604,1.00549,0.00776543,0.00776543,0.00776543
160,3314.77,0.63087,0.38516,0.88897,0.78166,0.67425,0.67296,0.43665,1.06794,0.69913,1.01158,0.00775129,0.00775129,0.00775129
161,3335.64,0.63251,0.38679,0.88231,0.80117,0.65078,0.65941,0.4252,1.06442,0.69483,1.01326,0.00773714,0.00773714,0.00773714
162,3356.47,0.62953,0.38312,0.8832,0.82124,0.63043,0.64787,0.43165,1.05113,0.70769,1.00453,0.007723,0.007723,0.007723
163,3377.29,0.61686,0.38021,0.88003,0.78735,0.66137,0.65509,0.43092,1.04953,0.71816,1.0147,0.00770886,0.00770886,0.00770886
164,3397.92,0.62826,0.38131,0.88543,0.8463,0.66277,0.69135,0.44839,1.04174,0.7342,1.00409,0.00769471,0.00769471,0.00769471
165,3418.8,0.61762,0.38562,0.88573,0.80379,0.65412,0.67525,0.43995,1.06344,0.72959,1.01707,0.00768057,0.00768057,0.00768057
166,3439.55,0.6278,0.38514,0.88888,0.81342,0.63338,0.64297,0.43619,1.05874,0.70693,1.00796,0.00766643,0.00766643,0.00766643
167,3460.17,0.63064,0.38677,0.8857,0.8036,0.64408,0.65026,0.42686,1.04999,0.75651,1.00726,0.00765229,0.00765229,0.00765229
168,3480.71,0.62454,0.39519,0.88983,0.83054,0.63735,0.65262,0.43061,1.04277,0.72424,1.00564,0.00763814,0.00763814,0.00763814
169,3501.39,0.6113,0.37806,0.88015,0.83392,0.64053,0.65679,0.43884,1.06723,0.7244,1.00189,0.007624,0.007624,0.007624
170,3522.04,0.61184,0.37595,0.88348,0.85386,0.63818,0.65686,0.43428,1.06021,0.71898,1.00441,0.00760986,0.00760986,0.00760986
171,3542.51,0.61061,0.38116,0.8794,0.82041,0.66715,0.67389,0.44273,1.04016,0.73874,0.9864,0.00759571,0.00759571,0.00759571
172,3563.22,0.61378,0.38487,0.88278,0.85,0.64864,0.68522,0.44855,1.03138,0.77292,0.99573,0.00758157,0.00758157,0.00758157
173,3584.11,0.60446,0.37489,0.88386,0.82655,0.64051,0.66011,0.44423,1.00139,0.73807,0.99889,0.00756743,0.00756743,0.00756743
174,3605,0.62709,0.37993,0.88984,0.83815,0.65477,0.67346,0.44014,1.04143,0.79952,1.00884,0.00755329,0.00755329,0.00755329
175,3625.75,0.61356,0.3729,0.87788,0.80202,0.63686,0.65593,0.43033,1.04686,0.76497,1.00869,0.00753914,0.00753914,0.00753914
176,3646.79,0.6248,0.37936,0.88689,0.80894,0.64432,0.65936,0.43012,1.02773,0.72339,1.00587,0.007525,0.007525,0.007525
177,3667.74,0.62268,0.38478,0.88531,0.74874,0.65106,0.64492,0.43591,1.03443,0.77112,1.00075,0.00751086,0.00751086,0.00751086
178,3688.74,0.62101,0.38227,0.88508,0.795,0.63473,0.66189,0.44015,1.05661,0.76146,1.00622,0.00749671,0.00749671,0.00749671
179,3709.47,0.61249,0.38262,0.88447,0.87636,0.64773,0.67717,0.43623,1.06481,0.74101,1.01504,0.00748257,0.00748257,0.00748257
180,3730.36,0.62683,0.38749,0.88668,0.78983,0.64363,0.63306,0.4262,1.07337,0.77629,1.00898,0.00746843,0.00746843,0.00746843
